IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.36.24.111,2052,80,false,CDG,Europe,Paris,167,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,167,0.00
54.216.89.4,2053,80,false,LHR,Europe,London,169,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,170,0.00
13.37.224.156,8443,443,true,CDG,Europe,Paris,170,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,171,0.00
54.155.155.196,2087,80,false,LHR,Europe,London,172,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,172,0.00
13.36.63.124,2053,80,false,CDG,Europe,Paris,172,0.00
18.185.254.189,80,80,false,FRA,Europe,Frankfurt,173,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,174,0.00
54.155.155.196,2095,80,false,LHR,Europe,London,174,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,174,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,175,0.00
13.36.162.145,2095,80,false,CDG,Europe,Paris,176,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,176,0.00
13.51.138.200,2083,80,false,ARN,Europe,Stockholm,178,0.00
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2087,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,179,0.00
13.49.119.167,2096,80,false,ARN,Europe,Stockholm,179,0.00
13.53.47.110,2053,80,false,ARN,Europe,Stockholm,180,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,182,0.00
13.42.158.50,2087,443,true,LHR,Europe,London,182,0.00
52.29.224.33,80,80,false,FRA,Europe,Frankfurt,182,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,182,0.00
13.42.158.50,8443,443,true,LHR,Europe,London,183,0.00
13.36.64.125,8443,443,true,CDG,Europe,Paris,183,0.00
52.58.226.31,8080,80,false,FRA,Europe,Frankfurt,183,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,183,0.00
54.193.109.100,80,443,true,SJC,North America,San Jose,183,0.00
54.155.155.196,2052,80,false,LHR,Europe,London,183,0.00
54.155.155.196,2086,80,false,LHR,Europe,London,184,0.00
13.51.138.200,2053,80,false,ARN,Europe,Stockholm,185,0.00
13.51.138.200,2082,80,false,ARN,Europe,Stockholm,185,0.00
13.49.6.192,2096,80,false,ARN,Europe,Stockholm,185,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,185,0.00
13.53.47.110,2087,80,false,ARN,Europe,Stockholm,186,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,189,0.00
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,189,0.00
13.53.47.110,2096,80,false,ARN,Europe,Stockholm,189,0.00
13.49.6.192,2082,80,false,ARN,Europe,Stockholm,192,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,196,0.00
13.51.138.200,2086,80,false,ARN,Europe,Stockholm,197,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,198,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,199,0.00
54.155.155.196,2082,80,false,LHR,Europe,London,200,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,201,0.00
13.51.138.200,2095,80,false,ARN,Europe,Stockholm,209,0.00
15.156.104.59,80,8080,false,YUL,North America,Montréal,242,0.00
18.189.139.61,443,443,true,ORD,North America,Chicago,246,0.00
15.156.194.250,80,443,true,YUL,North America,Montréal,269,0.00
15.156.207.221,443,443,true,YUL,North America,Montréal,269,0.00
13.245.152.196,2095,80,false,CPT,Africa,Cape Town,282,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,283,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,283,0.00
13.246.85.121,2083,80,false,CPT,Africa,Cape Town,283,0.00
13.246.85.121,2087,80,false,CPT,Africa,Cape Town,287,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,287,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,290,0.00
13.245.152.196,2053,80,false,CPT,Africa,Cape Town,290,0.00
13.246.85.121,2096,80,false,CPT,Africa,Cape Town,293,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,294,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,296,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,297,0.00
13.245.152.196,2086,80,false,CPT,Africa,Cape Town,300,0.00
